ID,ICD-10 Code
1,R079
2,I2692
3,I2699
4,I6201
5,I214
6,I7100
7,R55
8,H9312
9,H16001
10,H53143
11,D860
12,E039
13,E109
14,E119
15,E785
16,N179
17,R110
18,R599
19,R740
20,Z794
21,E1010
22,E7800
23,R5383
24,Z9641
25,I10
26,I609
27,R208
28,I469
29,I4891
30,I81
31,R109
32,R112
33,B1920
34,K5660
35,K7460
36,R1013
37,R1031
38,K56609
39,S0266XA
40,S31614A
41,X991XXA
42,R42
43,E872
44,I120
45,K922
46,N186
47,R197
48,R871
49,Y832
50,Z992
51,E1065
52,M7989
53,R7881
54,D72829
55,E10621
56,L03116
57,L97519
58,S72142A
59,T82868A
60,W1830XA
61,R0789
62,R51
63,E780
64,E860
65,I313
66,K625
67,M549
68,N390
69,R509
70,R531
71,C9110
72,E1165
73,Y9289
74,Z8673
75,E10649
76,L03031
77,M79662
78,T383X1A
79,A419
80,D649
81,I959
82,K859
83,N189
84,Y838
85,R0600
86,M25562
87,T82520A
88,T82594A
89,T82898A
90,X58XXXA
91,F10129
92,R45851
93,S0090XA
94,W109XXA
95,K3580
96,S0181XA
97,S098XXA
98,S2232XA
99,S229XXA
100,W010XXA
101,J189
102,R319
103,Y738
104,Y833
105,Y848
106,I82622
107,N99518
108,T83098A
109,T8389XA
110,I509
111,Z7901
112,J90
113,D735
114,C9210
115,R0902
116,D61818
117,F329
118,F419
119,I639
120,R05
121,M545
122,H5711
123,I5040
124,Z7984
125,E11649
126,W1809XA
127,S82391A
128,I129
129,J181
130,R600
131,E1122
132,E11621
133,L97529
134,T814XXA
135,Z452
136,G1221
137,R092
138,J9383
139,B20
140,F28
141,E162
142,M542
143,F10239
144,S066X9A
145,S12600A
146,S22059A
147,S22069A
148,V4352XA
149,V499XXA
150,H5713
151,M3500
