Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
0,10,Cholera d/t vib cholerae,Intest infct,,,"Gastrointestinal, Super Low"
1,11,Cholera d/t vib el tor,Intest infct,,,"Gastrointestinal, Super Low"
2,19,Cholera NOS,Intest infct,,,"Gastrointestinal, Super Low"
3,20,Typhoid fever,Intest infct,,,"Gastrointestinal, Super Low"
4,21,Paratyphoid fever a,Intest infct,,,"Gastrointestinal, Super Low"
5,22,Paratyphoid fever b,Intest infct,,,"Gastrointestinal, Super Low"
6,23,Paratyphoid fever c,Intest infct,,,"Gastrointestinal, Super Low"
7,29,Paratyphoid fever NOS,Intest infct,,,"Gastrointestinal, Super Low"
8,30,Salmonella enteritis,Intest infct,,,"Gastrointestinal, Super Low"
9,31,Salmonella septicemia,Septicemia,HCC2 Septicemia/Shock,,"Gastrointestinal, Super Low"
10,320,Local salmonella inf NOS,Intest infct,,,"Gastrointestinal, Super Low"
11,321,Salmonella meningitis,Meningitis,,,"Gastrointestinal, Super Low"
12,322,Salmonella pneumonia,Pneumonia,"HCC112 Pneumococcal Pneumonia, Empyema, Lung Abscess",,"Gastrointestinal, Super Low"
13,323,Salmonella arthritis,Infect arth,HCC37 Bone/Joint/Muscle Infections/Necrosis,,"Gastrointestinal, Super Low"
14,324,Salmonella osteomyelitis,Infect arth,HCC37 Bone/Joint/Muscle Infections/Necrosis,,"Gastrointestinal, Super Low"
15,329,Local salmonella inf NEC,Intest infct,,,"Gastrointestinal, Super Low"
16,38,Salmonella infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
17,39,Salmonella infection NOS,Intest infct,,,"Gastrointestinal, Super Low"
18,40,Shigella dysenteriae,Intest infct,,,"Gastrointestinal, Super Low"
19,41,Shigella flexneri,Intest infct,,,"Gastrointestinal, Super Low"
20,42,Shigella boydii,Intest infct,,,"Gastrointestinal, Super Low"
21,43,Shigella sonnei,Intest infct,,,"Gastrointestinal, Super Low"
22,48,Shigella infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
23,49,Shigellosis NOS,Intest infct,,,"Gastrointestinal, Super Low"
24,50,Staph food poisoning,Intest infct,,,"Gastrointestinal, Super Low"
25,51,Botulism food poisoning,Intest infct,,,"Gastrointestinal, Super Low"
26,52,Food pois d/t c. perfrin,Intest infct,,,"Gastrointestinal, Super Low"
27,53,Food pois: clostrid NEC,Intest infct,,,"Gastrointestinal, Super Low"
28,54,Food pois: v. parahaem,Intest infct,,,"Gastrointestinal, Super Low"
29,581,Food poisn d/t v. vulnif,Intest infct,,,"Gastrointestinal, Super Low"
30,589,Bact food poisoning NEC,Intest infct,,,"Gastrointestinal, Super Low"
31,59,Food poisoning NOS,Intest infct,,,"Gastrointestinal, Super Low"
32,60,Ac amebiasis w/o abscess,Intest infct,,,"Gastrointestinal, Super Low"
33,61,Chr amebiasis w/o absces,Intest infct,,,"Gastrointestinal, Super Low"
34,62,Amebic nondysent colitis,Intest infct,,,"Gastrointestinal, Super Low"
35,63,Amebic liver abscess,Intest infct,,,"Gastrointestinal, Super Low"
36,64,Amebic lung abscess,Intest infct,"HCC112 Pneumococcal Pneumonia, Empyema, Lung Abscess",,"Gastrointestinal, Super Low"
37,65,Amebic brain abscess,Intest infct,,,"Gastrointestinal, Super Low"
38,66,Amebic skin ulceration,Intest infct,,,"Gastrointestinal, Super Low"
39,68,Amebic infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
40,69,Amebiasis NOS,Intest infct,,,"Gastrointestinal, Super Low"
41,70,Balantidiasis,Intest infct,,,"Gastrointestinal, Super Low"
42,71,Giardiasis,Intest infct,,,"Gastrointestinal, Super Low"
43,72,Coccidiosis,Intest infct,,,"Gastrointestinal, Super Low"
44,73,Intest trichomoniasis,Intest infct,,,"Gastrointestinal, Super Low"
45,74,Cryptosporidiosis,Intest infct,HCC5 Opportunistic Infections,,"Gastrointestinal, Super Low"
46,75,Cyclosporiasis,Intest infct,,,"Gastrointestinal, Low"
47,78,Protozoal intest dis NEC,Intest infct,,,"Gastrointestinal, Super Low"
48,79,Protozoal intest dis NOS,Intest infct,,,"Gastrointestinal, Super Low"
49,800,Intest infec e coli NOS,Intest infct,,,"Gastrointestinal, Super Low"
50,801,Int inf e coli entrpath,Intest infct,,,"Gastrointestinal, Super Low"
51,802,Int inf e coli entrtoxgn,Intest infct,,,"Gastrointestinal, Super Low"
52,803,Int inf e coli entrnvsv,Intest infct,,,"Gastrointestinal, Super Low"
53,804,Int inf e coli entrhmrg,Intest infct,,,"Gastrointestinal, Super Low"
54,809,Int inf e coli spcf NEC,Intest infct,,,"Gastrointestinal, Super Low"
55,81,Arizona enteritis,Intest infct,,,"Gastrointestinal, Super Low"
56,82,Aerobacter enteritis,Intest infct,,,"Gastrointestinal, Super Low"
57,83,Proteus enteritis,Intest infct,,,"Gastrointestinal, Super Low"
58,841,Staphylococc enteritis,Intest infct,,,"Gastrointestinal, Super Low"
59,842,Pseudomonas enteritis,Intest infct,,,"Gastrointestinal, Super Low"
60,843,Int infec campylobacter,Intest infct,,,"Gastrointestinal, Super Low"
61,844,Int inf yrsnia entrcltca,Intest infct,,,"Gastrointestinal, Super Low"
62,845,Int inf clstrdium dfcile,Intest infct,,,"Gastrointestinal, Super Low"
63,846,Intes infec oth anerobes,Intest infct,,,"Gastrointestinal, Super Low"
64,847,Int inf oth grm neg bctr,Intest infct,,,"Gastrointestinal, Super Low"
65,849,Bacterial enteritis NEC,Intest infct,,,"Gastrointestinal, Super Low"
66,85,Bacterial enteritis NOS,Intest infct,,,"Gastrointestinal, Super Low"
67,861,Intes infec rotavirus,Intest infct,,,"Gastrointestinal, Super Low"
